"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 19, 2019","4,017.0","3,990.2","4,029.9","3,972.4","2.99M","0.67%"
"Mar 18, 2019","3,990.2","3,981.5","4,032.3","3,958.5","2.62M","0.22%"
"Mar 17, 2019","3,981.5","4,006.4","4,009.8","3,956.3","1.87M","-0.62%"
"Mar 16, 2019","4,006.4","3,924.4","4,050.6","3,923.7","3.46M","2.09%"
"Mar 15, 2019","3,924.3","3,879.0","3,935.7","3,874.8","3.11M","1.17%"
"Mar 14, 2019","3,879.0","3,865.1","3,914.7","3,828.4","2.86M","0.36%"
"Mar 13, 2019","3,865.1","3,885.9","3,894.7","3,847.4","2.28M","-0.54%"
"Mar 12, 2019","3,886.0","3,870.3","3,900.1","3,817.1","2.90M","0.41%"
"Mar 11, 2019","3,870.3","3,915.2","3,935.5","3,842.4","3.19M","-1.15%"
"Mar 10, 2019","3,915.2","3,944.4","3,944.5","3,889.2","1.89M","-0.74%"
"Mar 09, 2019","3,944.3","3,865.6","3,964.0","3,859.7","2.48M","2.03%"
"Mar 08, 2019","3,865.9","3,875.1","3,929.0","3,810.7","2.96M","-0.24%"
"Mar 07, 2019","3,875.1","3,863.1","3,907.4","3,847.9","2.60M","0.32%"
"Mar 06, 2019","3,863.0","3,857.2","3,887.3","3,816.7","2.52M","0.15%"
"Mar 05, 2019","3,857.2","3,715.9","3,873.2","3,705.7","3.82M","3.80%"
"Mar 04, 2019","3,715.9","3,809.7","3,828.4","3,681.8","2.85M","-2.45%"
"Mar 03, 2019","3,809.5","3,823.2","3,836.6","3,789.7","1.51M","-0.36%"
"Mar 02, 2019","3,823.1","3,821.9","3,843.2","3,783.6","1.61M","0.03%"
"Mar 01, 2019","3,821.9","3,816.7","3,855.8","3,816.4","1.74M","0.14%"
"Feb 28, 2019","3,816.6","3,814.6","3,883.7","3,783.3","2.31M","0.05%"
"Feb 27, 2019","3,814.6","3,810.3","3,836.4","3,701.9","2.82M","0.11%"
"Feb 26, 2019","3,810.3","3,833.5","3,845.5","3,775.0","2.09M","-0.61%"
"Feb 25, 2019","3,833.7","3,755.7","3,870.7","3,753.8","765.87K","2.09%"
"Feb 24, 2019","3,755.2","4,120.5","4,194.2","3,738.7","977.78K","-8.86%"
"Feb 23, 2019","4,120.4","3,965.2","4,152.6","3,939.4","727.85K","3.91%"
"Feb 22, 2019","3,965.2","3,937.4","3,983.1","3,931.7","649.55K","0.73%"
"Feb 21, 2019","3,936.6","3,972.0","4,011.5","3,909.2","668.16K","-0.90%"
"Feb 20, 2019","3,972.4","3,914.3","3,983.6","3,881.2","698.01K","1.48%"
"Feb 19, 2019","3,914.3","3,896.4","3,993.8","3,863.7","1.44M","0.47%"
"Feb 18, 2019","3,896.0","3,664.2","3,903.7","3,655.1","933.15K","6.33%"
"Feb 17, 2019","3,664.2","3,616.8","3,689.9","3,607.9","580.51K","1.31%"
"Feb 16, 2019","3,616.8","3,604.7","3,641.9","3,599.7","485.63K","0.34%"
"Feb 15, 2019","3,604.7","3,592.6","3,648.3","3,581.4","516.21K","0.34%"
"Feb 14, 2019","3,592.6","3,611.5","3,624.5","3,580.2","498.14K","-0.52%"
"Feb 13, 2019","3,611.5","3,632.0","3,663.5","3,599.2","558.02K","-0.56%"
"Feb 12, 2019","3,632.0","3,631.8","3,656.4","3,594.4","545.82K","0.01%"
"Feb 11, 2019","3,631.8","3,678.8","3,681.1","3,623.8","517.28K","-1.28%"
"Feb 10, 2019","3,679.0","3,661.0","3,680.6","3,617.1","501.90K","0.48%"
"Feb 09, 2019","3,661.4","3,661.6","3,675.3","3,633.2","454.80K","-0.01%"
"Feb 08, 2019","3,661.7","3,397.3","3,721.1","3,382.5","699.23K","7.77%"
"Feb 07, 2019","3,397.7","3,404.9","3,421.8","3,390.3","471.36K","-0.20%"
"Feb 06, 2019","3,404.3","3,468.5","3,478.0","3,383.9","514.21K","-1.85%"
"Feb 05, 2019","3,468.4","3,463.0","3,485.9","3,450.3","460.95K","0.16%"
"Feb 04, 2019","3,462.8","3,459.0","3,479.7","3,437.1","503.92K","0.11%"
"Feb 03, 2019","3,459.1","3,502.3","3,507.8","3,431.3","451.66K","-1.24%"
"Feb 02, 2019","3,502.5","3,467.9","3,514.5","3,447.8","443.60K","1.00%"
"Feb 01, 2019","3,467.9","3,437.7","3,485.7","3,415.3","481.58K","0.90%"
"Jan 31, 2019","3,437.2","3,460.0","3,484.7","3,427.0","477.07K","-0.66%"
"Jan 30, 2019","3,460.0","3,414.6","3,479.0","3,394.2","600.25K","1.32%"
"Jan 29, 2019","3,414.8","3,442.8","3,450.1","3,368.2","585.46K","-0.81%"
"Jan 28, 2019","3,442.8","3,555.8","3,561.2","3,395.7","620.85K","-3.17%"
"Jan 27, 2019","3,555.6","3,570.9","3,583.2","3,509.2","464.02K","-0.43%"
"Jan 26, 2019","3,570.9","3,572.0","3,652.5","3,556.1","432.55K","-0.03%"
"Jan 25, 2019","3,572.0","3,574.3","3,582.6","3,542.2","448.89K","-0.06%"
"Jan 24, 2019","3,574.3","3,561.4","3,587.0","3,539.7","428.60K","0.36%"
"Jan 23, 2019","3,561.5","3,580.1","3,608.3","3,532.8","445.87K","-0.52%"
"Jan 22, 2019","3,580.1","3,536.9","3,607.9","3,465.2","447.70K","1.23%"
"Jan 21, 2019","3,536.7","3,542.7","3,561.4","3,505.4","394.17K","-0.16%"
"Jan 20, 2019","3,542.3","3,676.2","3,699.1","3,503.9","563.31K","-3.68%"
"Jan 19, 2019","3,677.8","3,605.8","3,715.2","3,604.1","537.06K","2.00%"
"Jan 18, 2019","3,605.6","3,626.3","3,627.9","3,575.7","488.16K","-0.57%"
"Jan 17, 2019","3,626.4","3,588.1","3,636.7","3,554.8","525.10K","1.07%"
"Jan 16, 2019","3,588.0","3,570.6","3,644.1","3,561.4","487.34K","0.47%"
"Jan 15, 2019","3,571.3","3,637.5","3,660.8","3,545.7","544.85K","-1.84%"
"Jan 14, 2019","3,638.1","3,490.4","3,672.0","3,490.4","539.93K","4.24%"
"Jan 13, 2019","3,490.2","3,597.3","3,617.6","3,473.2","452.79K","-2.98%"
"Jan 12, 2019","3,597.2","3,616.6","3,633.9","3,561.3","435.06K","-0.53%"
"Jan 11, 2019","3,616.5","3,603.3","3,655.7","3,563.1","551.64K","0.35%"
"Jan 10, 2019","3,603.7","3,978.9","4,007.7","3,562.1","697.31K","-9.41%"
"Jan 09, 2019","3,978.0","3,971.0","4,014.2","3,957.5","473.42K","0.17%"
"Jan 08, 2019","3,971.0","3,985.8","4,070.5","3,943.1","514.08K","-0.37%"
"Jan 07, 2019","3,985.9","4,004.3","4,028.0","3,945.5","500.88K","-0.45%"
"Jan 06, 2019","4,004.1","3,785.7","4,034.1","3,758.5","529.89K","5.78%"
"Jan 05, 2019","3,785.4","3,802.8","3,846.7","3,769.0","468.45K","-0.46%"
"Jan 04, 2019","3,802.7","3,780.5","3,823.9","3,720.0","488.70K","0.60%"
"Jan 03, 2019","3,780.1","3,874.1","3,875.8","3,753.0","450.32K","-2.42%"
"Jan 02, 2019","3,873.8","3,809.7","3,894.8","3,768.1","554.47K","1.69%"
"Jan 01, 2019","3,809.4","3,709.5","3,814.3","3,664.4","469.11K","2.69%"
"Dec 31, 2018","3,709.4","3,815.1","3,819.6","3,658.8","545.83K","-2.77%"
"Dec 30, 2018","3,815.0","3,708.2","3,837.7","3,682.5","519.17K","2.92%"
"Dec 29, 2018","3,706.8","3,861.6","3,899.6","3,696.0","505.41K","-4.01%"
"Dec 28, 2018","3,861.6","3,587.1","3,900.3","3,565.5","565.24K","7.66%"
"Dec 27, 2018","3,586.9","3,793.4","3,822.6","3,560.8","543.44K","-5.45%"
"Dec 26, 2018","3,793.7","3,762.8","3,841.9","3,680.3","567.11K","0.83%"
"Dec 25, 2018","3,762.5","4,025.6","4,030.7","3,676.5","670.94K","-6.55%"
"Dec 24, 2018","4,026.1","3,944.5","4,208.2","3,941.9","716.29K","2.07%"
"Dec 23, 2018","3,944.4","3,964.3","4,037.1","3,904.6","572.21K","-0.50%"
"Dec 22, 2018","3,964.4","3,850.9","3,977.2","3,803.7","554.59K","2.95%"
"Dec 21, 2018","3,850.9","4,075.2","4,153.1","3,786.9","748.76K","-5.52%"
"Dec 20, 2018","4,076.0","3,687.2","4,140.3","3,665.8","958.58K","10.55%"
"Dec 19, 2018","3,687.1","3,668.1","3,924.7","3,647.5","792.40K","0.52%"
"Dec 18, 2018","3,668.0","3,526.0","3,683.1","3,456.9","698.53K","4.02%"
"Dec 17, 2018","3,526.1","3,248.3","3,597.4","3,243.1","534.78K","8.57%"
"Dec 16, 2018","3,247.9","3,228.6","3,305.0","3,225.9","335.69K","0.60%"
"Dec 15, 2018","3,228.7","3,247.8","3,282.3","3,177.0","332.95K","-0.59%"
"Dec 14, 2018","3,247.8","3,315.4","3,336.6","3,199.1","445.56K","-2.04%"
"Dec 13, 2018","3,315.3","3,466.2","3,474.4","3,284.8","435.89K","-4.35%"
"Dec 12, 2018","3,466.1","3,390.2","3,510.2","3,379.4","391.17K","1.72%"
"Dec 11, 2018","3,407.7","3,460.4","3,485.9","3,349.9","418.53K","-1.53%"
"Dec 10, 2018","3,460.5","3,566.9","3,622.4","3,412.7","394.49K","-3.00%"
"Dec 09, 2018","3,567.5","3,430.3","3,677.6","3,424.2","327.93K","4.00%"
"Dec 08, 2018","3,430.4","3,422.3","3,507.7","3,302.9","424.40K","0.24%"
"Dec 07, 2018","3,422.2","3,508.9","3,626.6","3,251.8","639.33K","-2.46%"
"Dec 06, 2018","3,508.6","3,771.4","3,887.2","3,505.7","467.54K","-6.97%"
"Dec 05, 2018","3,771.6","3,958.1","3,974.1","3,765.2","341.60K","-4.72%"
"Dec 04, 2018","3,958.5","3,899.9","4,082.9","3,809.3","326.71K","1.56%"
"Dec 03, 2018","3,897.8","4,160.3","4,177.0","3,839.9","355.10K","-6.31%"
"Dec 02, 2018","4,160.4","4,196.2","4,316.1","4,105.3","298.63K","-0.85%"
"Dec 01, 2018","4,196.2","4,038.7","4,299.1","3,967.1","316.30K","3.87%"
"Nov 30, 2018","4,039.7","4,296.8","4,340.6","3,954.5","444.52K","-5.98%"
"Nov 29, 2018","4,296.5","4,265.5","4,440.1","4,140.6","414.46K","0.73%"
"Nov 28, 2018","4,265.4","3,866.4","4,391.8","3,866.4","533.04K","10.32%"
"Nov 27, 2018","3,866.5","3,840.3","3,920.6","3,687.8","457.27K","0.77%"
"Nov 26, 2018","3,837.0","4,061.0","4,179.0","3,679.8","571.04K","-5.54%"
"Nov 25, 2018","4,062.2","3,920.3","4,198.4","3,634.2","619.95K","3.62%"
"Nov 24, 2018","3,920.4","4,397.3","4,494.6","3,821.5","382.72K","-10.86%"
"Nov 23, 2018","4,398.0","4,360.9","4,455.6","4,223.7","348.99K","0.96%"
"Nov 22, 2018","4,356.0","4,646.4","4,695.7","4,346.7","261.85K","-6.09%"
"Nov 21, 2018","4,638.7","4,523.0","4,743.7","4,393.0","412.74K","2.52%"
